year,age_0_4,age_5_9,age_10_14,age_15_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_64,age_65_69,age_70,total
1750, 235915, 186654, 168710, 161260, 298049, 234021, 182963, 141157, 61608, 47933, 62408, 1780678
1760, 245409, 219689, 194361, 171055, 302887, 268130, 204018, 150109, 57787, 42688, 69115, 1925248
1770, 250130, 217442, 204626, 201250, 329789, 271206, 232776, 166731, 58198, 47147, 63279, 2042574
1780, 269819, 200320, 202141, 196126, 366188, 288607, 231428, 188666, 66407, 49013, 59566, 2118281
1790, 259071, 222328, 217084, 180896, 356690, 319944, 246051, 187663, 75628, 57549, 64828, 2187732
1800, 279554, 255011, 224866, 207961, 368348, 321852, 280473, 203068, 73086, 58538, 74546, 2347303
1810, 266882, 249926, 239634, 234251, 387916, 323474, 271789, 220828, 78825, 54647, 68179, 2396351
1820, 332235, 272245, 230813, 233669, 440966, 349981, 280643, 219751, 84551, 66244, 73592, 2584690
1830, 371009, 357825, 295572, 257643, 434338, 400723, 304775, 228580, 84663, 67338, 85616, 2888082
1840, 372986, 352063, 329199, 337912, 515770, 392943, 347710, 245749, 94621, 63686, 86248, 3138887
1850, 432952, 378079, 335701, 333797, 623922, 474432, 345502, 288912, 101291, 73647, 94306, 3482541
1860, 513613, 407927, 371603, 354108, 619876, 568138, 421163, 286217, 115948, 93189, 107946, 3859728
1870, 491084, 486594, 443887, 377659, 631639, 545886, 497044, 353987, 116139, 93483, 131123, 4168525
1880, 562731, 486138, 439443, 451935, 716835, 561166, 488960, 430689, 158747, 116454, 152570, 4565668
1890, 582605, 523091, 487620, 432759, 695915, 594328, 494908, 425124, 180893, 160649, 207089, 4784981
1900, 589127, 547813, 529370, 485210, 780911, 612227, 540035, 439638, 182276, 162800, 267034, 5136441
1910, 619518, 581576, 550063, 512433, 861115, 689224, 562915, 485431, 194058, 168456, 297614, 5522403
1920, 564271, 573488, 591494, 557327, 960871, 784983, 639715, 510667, 225480, 179612, 316581, 5904489
1930, 452548, 524870, 547981, 558334, 1061750, 884667, 737376, 587001, 221705, 208158, 357801, 6142191
1940, 445195, 409228, 446791, 519959, 1083416, 1042697, 858310, 687675, 279046, 221534, 377581, 6371432
1950, 608915, 590603, 451184, 416290, 992640, 1087302, 1028641, 815354, 329807, 269959, 451134, 7041829
1955, 532486, 609905, 589562, 454392, 898179, 1075590, 1074058, 897120, 357425, 298161, 503234, 7290112
1960, 519855, 533513, 610194, 594052, 901633, 1003657, 1069428, 982162, 395509, 324456, 563508, 7497967
1965, 566227, 523740, 536244, 618553, 1096929, 912214, 1062072, 1028116, 435931, 360368, 632112, 7772506
1967, 598468, 522723, 533749, 580022, 1185952, 907801, 1044692, 1027289, 450677, 378713, 662688, 7892774
